館名	郵便番号	住所	電話番号	URL	都道府県
登別伊達時代村	059-0463	北海道登別市中登別町53-1	0143-83-3311	http://www.edo-trip.jp/	北海道
哀愁テーマパーク啄木浪漫館	040-0022	北海道函館市日乃出町25－4	0138-56-2801		北海道
アイスパビリオン（氷の美術館）	078-1733	北海道上川町栄町北の森ガーデン	01658-2-2233		北海道
相原求一朗デッサン館	080-0010	北海道帯広市大通り南5－15	0155-27-9160		北海道
相原求一朗美術館	089-1366	北海道中札内村栄東五線「中札内美術村」内	0155-68-3001		北海道
赤平市郷土館	079-1100	北海道赤平市綿町3－1	0125-32-3971		北海道
阿寒国際ツルセンター(グルス)	085-0200	北海道阿寒町23－40	0154-66-4011		北海道
阿寒湖畔ビジターセンター	085-0200	北海道阿寒町阿寒湖畔シアンヌ4－2	0154-67-2785		北海道
阿寒湖マリモ展示観察センター	085-0200	北海道阿寒町阿寒湖畔 阿寒湖内チュウルイ島	0154-67-2511		北海道
阿寒町タンチョウ観察センター	085-0245	北海道阿寒町上阿寒	0154-66-4011		北海道
朝倉力男記念美術館	078-1335	北海道当麻町緑郷一区	0166-84-5009		北海道
旭川市博物館分館　アイヌ文化の森伝承のコタン	071-1200	北海道鷹栖町嵐山	0166-52-1541		北海道
旭川兵村記念館	078-8261	北海道旭川市東旭川南一条6－3－26	0166-36-2323		北海道
旭川市旭山動物園	078-8205	北海道旭川市東旭川町倉沼	0166-36-1104	http://www5.city.asahikawa.hokkaido.jp/asahiyamazoo/	北海道
旭川市科学館・サイパル	070-0044	北海道旭川市宮前通東（北彩都あさひかわシビックコア地区）	0166-31-3186	http://www.city.asahikawa.hokkaido.jp/files/hakubutsukagaku/kagakukan/index.html	北海道
旭川市博物館	070-8003	北海道旭川市神楽3条7丁目旭川市大雪クリスタルホール内	0166-69-2004	http://www.city.asahikawa.hokkaido.jp/files/hakubutsukagaku/museum/index.html	北海道
足寄動物化石博物館（フォストリーあしょろ）	089-3727	北海道足寄町郊南1	01562-5-9100	http://www.museum.ashoro.hokkaido.jp/	北海道
厚真町青少年センター	059-1601	北海道厚真町京町165－1	01452-7-3977		北海道
厚岸町太田屯田開拓記念館	088-1145	北海道厚岸町太田5の通り23-1	0153-52-3599		北海道
厚岸町海事記念館	088-1128	北海道厚岸町港町50-1	0153-52-4040		北海道
厚岸町郷土館	088-1114	北海道厚岸町湾月町1-14	0153-52-3794		北海道
厚沢部町郷土資料館	043-1113	北海道厚沢部町新町234－11	01396-4-3436		北海道
厚田村郷土資料室	061-3601	北海道石狩市厚田区厚田村98－2	01337-8-2250		北海道
厚真町郷土資料館	059-1601	北海道厚真町京町120	01452-7-3977		北海道
網走市立郷土博物館	093-0041	北海道網走市桂町1-1-3	0152-43-3090		北海道
網走市立郷土博物館分館　モヨロ貝塚資料館	093-0052	北海道網走市北一条東2	0152-43-2608		北海道
網走市立美術館	093-0016	北海道網走市南6条西1丁目	0152-44-5045		北海道
虻田町立火山科学館	049-5721	北海道虻田町洞爺湖温泉町142	01427-5-4400		北海道
虻田町立郷土資料館	049-5721	北海道虻田町洞爺湖温泉町142	01427-5-2281		北海道
荒井記念美術館	045-0024	北海道岩内町野束505	0135-63-1111		北海道
有島記念館	048-1531	北海道ニセコ町有島57	0136-44-3245	http://www.town.niseko.lg.jp/arishima/	北海道
飯田三郎資料展示室	087-0049	北海道根室市弥生町2－5根室市図書館内	01532-4-3188		北海道
石狩川治水学習館（川のおもしろ館）	070-0000	北海道旭川市常盤公園内	0166-24-8430	http://www.terra.dti.ne.jp/~r-land/	北海道
いしかり砂丘の風資料館	061-3372	北海道石狩市弁天町30-4	0133-62-3711	http://www.city.ishikari.hokkaido.jp/museum	北海道
石狩市郷土資料室	061-3377	北海道石狩市親船町65	0133-62-3711		北海道
石原裕次郎記念館	047-0008	北海道小樽市築港5-10	0134-34-1188	http://www.yujiro-kinenkan.com/index2.htm	北海道
石屋チョコレートファクトリー（チョコレートミュージアム）	063-0052	北海道札幌市西区宮の沢二条2	011-666-1481		北海道
井上靖記念館	070-0971	北海道旭川市四区一条1	0166-52-1740	http://www.fukido.co.jp/inoue/idx_ino.html	北海道
入江貝塚館	049-5605	北海道虻田町高砂町44	0142-76-2102		北海道
岩内町郷土館	045-0022	北海道岩内町清住5－3	0135-62-3125		北海道
岩見沢郷土科学館	068-0833	北海道岩見沢市志文町809	0126-23-7170		北海道
雨竜町郷土資料館	078-2606	北海道雨竜町6区	01257-7-2321		北海道
ウイスキー博物館	046-0003	北海道余市町黒川町7-6ニッカウイスキ－(株)北海道工場内	0135-23-3131		北海道
植木蒼悦記念館	049-3521	北海道長万部町長万部413	01377-2-2861		北海道
有珠郷土館	059-0151	北海道伊達市有珠町124善光寺内	0142-38-2007		北海道
歌登町ふるさと館	098-5203	北海道歌登町辺毛内3882－8	01636-8-3004		北海道
ウタリ総合センター　アイヌ民族資料展示室	060-0000	北海道札幌市中央区北二条西七道民活動センター7F	011-221-0462		北海道
馬の資料館	080-0023	北海道帯広市西十三条南8－3競馬場入口	0155-35-6585		北海道
浦臼町郷土史料館	061-0600	北海道浦臼町浦臼内183-21	0125-68-2237		北海道
浦河町立赤心社記念館	059-3451	北海道浦河町荻伏町15	01462-5-2203		北海道
浦河町立郷土博物館・馬事資料館	057-0002	北海道浦河町西幌別273－1	01462-8-1342	http://www.town.urakawa.hokkaido.jp/	北海道
浦幌町立博物館	089-5614	北海道浦幌町桜町16－1 らぽろ21内	01557-6-2009		北海道
江差追分会館	043-0034	北海道江差町中歌町193	01395-2-0920		北海道
江差町郷土資料館	043-0034	北海道江差町中歌町112	0139-54-2188		北海道
枝幸町郷土資料館	098-5800	北海道枝幸町栄町875	01636-2-1029		北海道
エドウィンダン記念館	005-0015	北海道札幌市南区真駒内泉町1真駒内中央公園内	011-581-5064		北海道
恵庭市郷土資料館	061-1375	北海道恵庭市南島松157－2	0123-37-1288		北海道
江別市郷土資料館	067-0002	北海道江別市緑町西1－38	011-385-6466		北海道
江別市郷土資料館分館　江別市屯田資料館	069-0817	北海道江別市野幌代々木町38－11	011-385-4766		北海道
江別市陶芸の里セラミックアートセンター	069-0832	北海道江別市西野幌114－5	011-385-1004	http://www.city.ebetsu.hokkaido.jp/ceramic/index.html	北海道
絵本の館	098-0322	北海道剣淵町市街地本町	0165-34-2624		北海道
Ｍ七・八パネル館	088-0351	北海道白糠町和天別290－2			北海道
エリエールスクエア札幌　渡辺淳一文学館	064-0912	北海道札幌市中央区南12条西6	011-551-1282	http://www.ac.auone-net.jp/~bungaku/	北海道
えりも町郷土資料館「ほろいずみ」・水産の館	058-0203	北海道えりも町新浜207	01466-2-2410		北海道
襟裳岬風の館	058-0343	北海道えりも町東洋366-3	01466-3-1133	http://www9.ocn.ne.jp/~kaze/	北海道
遠軽町先史資料館	099-0428	北海道遠軽町西町1－1－29太陽の丘公園内	01584-2-8295		北海道
遠軽町郷土館	099-0428	北海道遠軽町西町1－2	01584-2-5942		北海道
遠別町郷土資料館	098-3504	北海道遠別町丸松163	01632-7-3212		北海道
小平町埋蔵文化財資料館	078-3301	北海道小平町小平町456－3	01645-9-1159		北海道
追分町鉄道資料館	059-1941	北海道追分町青葉1－169	01452-5-2083		北海道
王子製紙（株）森林博物館	069-1508	北海道栗山町湯地90	0123-72-0840	http://www.ojipaper-ebetsu.jp/top.htm	北海道
大崎ミュージアム	081-0012	北海道新得町二条南6	01566-4-5189		北海道
太田屯田兵屋	088-1142	北海道厚岸町太田2－6－3	0153-52-7505		北海道
大湯沼自然展示館	048-1300	北海道蘭越町湯の里680国民宿舎雪秩父	0136-58-2328		北海道
岡本佳子の小さな美術館	062-0043	北海道札幌市豊平区福住3条7-9-1岡本佳子授産研究所内	011-852-3708		北海道
小川原修記念美術館	044-0001	北海道倶知安町北6条東7－1	0136-21-4141		北海道
小川原脩記念美術館	044-0006	北海道倶知安町北6条東7丁目-1	0136-21-4141	http://www.town.kutchan.hokkaido.jp/town/somoa/index.jsp	北海道
奥尻町歴史民俗資料館	043-1521	北海道奥尻町青苗442	01397-3-2566		北海道
興部町郷土資料館	098-1615	北海道興部町東町	01588-2-2552		北海道
長万部町立町民センター郷土資料室	049-3521	北海道長万部町長万部413	01377-2-5396		北海道
小樽オルゴール堂２号館　アンティークミュージアム	047-0031	北海道小樽市境町6－13	0134-34-3915		北海道
小樽公園こどもの国	047-0024	北海道小樽市花園5小樽公園内	0134-22-0736		北海道
小樽市総合博物館	047-0031	北海道小樽市手宮1丁目3番6号	0134-33-2523	http://www.city.otaru.hokkaido.jp/kyouiku/museum/museum.htm	北海道
小樽市手宮洞窟保存館	047-0041	北海道小樽市手宮1－3－4	0134-24-1092		北海道
小樽市鰊御殿	047-0047	北海道小樽市祝津3－228	0134-22-1038		北海道
おたる水族館	047-0047	北海道小樽市祝津3-303	0134-33-1400	http://otaru-aq.jp/	北海道
男山酒造り資料館	079-8412	北海道旭川市永山二条7	0166-47-7080		北海道
音更町農村環境改善センター　郷土資料室	080-0335	北海道音更町希望ガ丘1	0155-42-4099		北海道
乙部町公民館郷土資料室	043-0104	北海道乙部町館浦4－1	01396-2-3311		北海道
帯広市おびひろ動物園	080-0846	北海道帯広市緑ケ丘2緑ヶ丘公園内	0155-24-2437		北海道
帯広市児童会館	080-0846	北海道帯広市緑ケ丘2帯広市児童会館	0155-24-2434		北海道
帯広市野草園	080-0846	北海道帯広市緑ケ丘2	0155-24-2434	http://www.city.obihiro.hokkaido.jp/yasouen/ayasou_yachou_2.jsp	北海道
帯広百年記念館	080-0846	北海道帯広市緑ケ丘2緑ヶ丘公園内	0155-24-5352	http://www.octv.ne.jp/~hyakunen/	北海道
小平町郷土資料館	078-3454	北海道小平町鬼鹿広富48－1	01645-7-1411		北海道
オホーツク木のプラザ	090-0811	北海道北見市泉町1－3－18	0157-25-1331	http://www.owp.or.jp/	北海道
オホーツク流氷館	093-0044	北海道網走市天都山245－1	0152-43-5951		北海道
オホーツクミュージアムえさし	098-5823	北海道枝幸町三笠町1614-1	01636-2-1231		北海道
おもしろ遊便館	005-0852	北海道札幌市南区常盤2条1-5-3	011-591-8976		北海道
音別町ふれあい図書館　郷土資料展示室	088-0117	北海道音別町朝日2－81	01547-6-2034		北海道
貝工芸館	051-0035	北海道室蘭市絵鞆町4－2－14	0143-27-2777		北海道
貝の館	048-0341	北海道蘭越町港町1401	0136-56-2102		北海道
開陽丸青少年センター	043-0041	北海道江差町姥神町1－10	01395-2-5522		北海道
金田心象書道美術館	098-3223	北海道幌延町幌延102-1	01632-5-2720		北海道
金森美術館 ・バカラコレクション	040-0053	北海道函館市末広町22－17	0138-22-5010		北海道
かみすながわ炭鉱館	073-0200	北海道上砂川町上砂川22	0125-62-2885		北海道
上砂川町無重力科学館	073-0200	北海道上砂川町上砂川町7	0125-62-6016		北海道
上仁頃美里開拓資料館	090-0007	北海道北見市美里	0157-33-2316		北海道
上ノ国町郷土館	049-0612	北海道上ノ国町上ノ国274	01395-5-3131		北海道
上富良野町開拓記念館	071-0503	北海道上富良野町草分	0167-45-6882		北海道
上富良野町郷土館	071-0541	北海道上富良野町富町1－3－30	0167-45-5037		北海道
上湧別町ふるさと館JRY	099-6325	北海道紋別郡湧別町北兵村1区588	01586-2-3000		北海道
カムイの杜公園　体験学習館（森のふしぎ館）	070-8024	北海道旭川市神居町富沢135	0166-63-4045		北海道
神恵内村日本郷土玩具館	045-0303	北海道神恵内村珊内村256	0135-77-6577		北海道
樺太関係資料展示室	060-0003	北海道札幌市中央区北3条西18北海道庁西18丁目別館2階	011-612-0125		北海道
からまつ館	089-1344	北海道中札内村東4条南2	0155-67-2311		北海道
川と湖の学習館	093-0131	北海道網走市能取港町1－1網走市水産科学センター	0152-47-1166		北海道
川の科学館	073-0041	北海道滝川市西滝川1	0125-24-0989		北海道
川村カ子トアイヌ記念館	070-0825	北海道旭川市北門町11	0166-51-2461		北海道
川湯エコミュージアムセンター	088-3465	北海道弟子屈町川湯温泉2－3－1	01548-3-4100		北海道
川湯相撲記念館	088-3465	北海道弟子屈町川湯温泉2丁目	01548-3-2924		北海道
観光名所小樽よしもと吉本大文芸博物館	047-0008	北海道小樽市築港11－5マイカル小樽5番街3F	0134-21-5151		北海道
神田日勝記念美術館	081-0222	北海道鹿追町東町3-2	01566-6-1555	http://kandanissho.com/	北海道
漢方資料館「草木庵」	062-0932	北海道札幌市豊平区平岸2－5	011-832-7677		北海道
画家の美術館	082-0073	北海道芽室町中伏古5003	0155-65-2306		北海道
北一ヴェネツィア美術館	047-0027	北海道小樽市堺町5-27	0134-33-1717	http://www.venezia-museum.or.jp/	北海道
（株）北きつね牧場	091-0000	北海道留辺蘂町温根湯	0157-45-2249		北海道
北島三郎記念館　　　	040-0053	北海道函館市末広町22-11ウイニングホテル	0138-26-2311	http://www.kitajima-museum.jp/	北海道
北のアルプ美術館	099-4114	北海道斜里町朝日町11－2	01522-3-4000		北海道
北の世田谷美術館	067-0052	北海道江別市角山365	011-382-1319		北海道
北の都芦別・北海道大観音	075-0036	北海道芦別市旭町2	01242-2-3661		北海道
北見ハッカ記念館	090-0812	北海道北見市南仲町1－7ー28	0157-23-6200		北海道
北村農業資料館	068-1213	北海道北村赤川586－3	0126-56-2008		北海道
木田金次郎美術館	045-0003	北海道岩内町万代51-3	0135-63-2221	http://www.kidakinjiro.com/	北海道
木と暮らしの情報館	071-0198	北海道旭川市西神楽1線10号	0166-75-3553	http://www.fpri.asahikawa.hokkaido.jp/	北海道
木のおもちゃワールド館・ちゃちゃワールド	099-0701	北海道遠野町生田原143－4	01584-9-4022		北海道
木宝館　	059-1365	北海道苫小牧市植苗136-1	0144-58-2311	http://www.tomakomai.or.jp	北海道
キャバレーメカニカルシアターロンドンからくり博物館	047-0031	北海道小樽市色内1－2－12	0134-22-5150		北海道
旧黒岩家住宅	061-2272	北海道札幌市南区簾舞11	011-596-2825		北海道
旧関川家別荘	043-0033	北海道江差町豊川町55	01395-2-4220		北海道
旧中村家住宅	043-0034	北海道江差町中歌町22	01395-2-1617	http://www.hokkaido-esashi.jp/kankou/nakamurake/top.htm	北海道
旧函館区公会堂	040-0054	北海道函館市元町11-13	0138-22-1001		北海道
旧花田家番屋	078-3454	北海道小平町鬼鹿広富35－2	01645-7-1411		北海道
旧檜山爾志郡役所	043-0034	北海道江差町中歌町112	01395-4-2188	http://www.hokkaido-esashi.jp/museum/top.htm	北海道
共和町かかし古里館	048-2202	北海道共和町南幌似103-13	0135-73-2617		北海道
清里町郷土資料館	099-4405	北海道清里町羽衣町32	01522-5-2582		北海道
霧多布湿原センター	088-1360	北海道浜中町琵琶瀬村四番沢103－19	0153-65-2779	http://www.kiritappu.or.jp/center/	北海道
キリンガーデントロピカルドーム	066-0077	北海道千歳市上長都949－1キリンビール(株)千歳工場内	0123-24-3101		北海道
訓子府町郷土資料室	099-1433	北海道訓子府町仲町 役場庁舎別館内	0157-47-2111		北海道
釧路圏摩周観光文化センター　郷土物産展示館	088-3222	北海道弟子屈町弟子屈原野867	01548-2-1811		北海道
釧路市こども遊学館	085-0017	北海道釧路市幸町10-2	0154-32-0122	http://kodomoyugakukan.jp	北海道
釧路市湿原展望台	084-0922	北海道釧路市北斗6－11	0154-56-2424		北海道
