Prefecture,Area,City,District,Name,Population,Capacity,UpdateDate,UpdateTime,Source,Notes,LatLng,Color
青森県,,青森市,,市民ホール,,,3月12日,16:00:00,防災消防課,,"40.826672,140.733307",measle_yellow
青森県,,青森市,,長島小学校,,,3月12日,16:00:00,防災消防課,,"40.821312,140.740570",measle_yellow
青森県,,青森市,,ワ・ラッセ,,,3月12日,16:00:00,防災消防課,,"40.829372,140.737289",measle_yellow
青森県,,弘前市,,市役所(自主避難),108,,3月12日,16:00:00,防災消防課,,"40.603043,140.464005",measle_turquoise
青森県,,弘前市,,岩木支所,1,,3月12日,16:00:00,防災消防課,,"40.616234,140.421555",measle_turquoise
青森県,,八戸市,,多賀小学校,,,3月12日,16:00:00,防災消防課,,"40.584484,141.461823",measle_yellow
青森県,,八戸市,,根岸小学校,,,3月12日,16:00:00,防災消防課,,"40.542236,141.485458",measle_yellow
青森県,,八戸市,,城北小学校,,,3月12日,16:00:00,防災消防課,,"40.530827,141.477295",measle_yellow
青森県,,八戸市,,八戸小学校,,,3月12日,16:00:00,防災消防課,,"40.515976,141.477570",measle_yellow
青森県,,八戸市,,城下小学校,,,3月12日,16:00:00,防災消防課,,"40.522022,141.489731",measle_yellow
青森県,,八戸市,,湊小学校,,,3月12日,16:00:00,防災消防課,,"40.521492,141.529861",measle_yellow
青森県,,八戸市,,白銀小学校,,,3月12日,16:00:00,防災消防課,,"40.520714,141.545898",measle_yellow
青森県,,八戸市,,鮫小学校,,,3月12日,16:00:00,防災消防課,,"40.530048,141.560989",measle_yellow
青森県,,八戸市,,小中野小学校,,,3月12日,16:00:00,防災消防課,,"40.520538,141.514069",measle_yellow
青森県,,八戸市,,北稜中学校,,,3月12日,16:00:00,防災消防課,,"40.546131,141.486130",measle_yellow
青森県,,八戸市,,江陽中学校,,,3月12日,16:00:00,防災消防課,,"40.517624,141.500351",measle_yellow
青森県,,八戸市,,小中野中学校,,,3月12日,16:00:00,防災消防課,,"40.516159,141.511719",measle_yellow
青森県,,八戸市,,第三中学校,,,3月12日,16:00:00,防災消防課,,"40.510017,141.508713",measle_yellow
青森県,,八戸市,,鮫中学校,,,3月12日,16:00:00,防災消防課,,"40.531475,141.566589",measle_yellow
青森県,,八戸市,,白銀公民館,,,3月12日,16:00:00,防災消防課,,"40.522598,141.546234",measle_yellow
青森県,,八戸市,,鮫公民館,,,3月12日,16:00:00,防災消防課,,"40.530315,141.557755",measle_yellow
青森県,,八戸市,,湊公民館,,,3月12日,16:00:00,防災消防課,,"40.521835,141.530930",measle_yellow
青森県,,八戸市,,三八城公民館,,,3月12日,16:00:00,防災消防課,,"40.520405,141.487869",measle_yellow
青森県,,八戸市,,根岸公民館,,,3月12日,16:00:00,防災消防課,,"40.540146,141.483643",measle_yellow
青森県,,黒石市,,中部公民館,0,,3月12日,16:00:00,防災消防課,,"40.654312,140.601791",measle_grey
青森県,,黒石市,,追子野木公民館,10,,3月12日,16:00:00,防災消防課,,"40.638638,140.590607",measle_turquoise
青森県,,五所川原市,,北部コミュニティセンター,6,,3月12日,16:00:00,防災消防課,,"40.819305,140.450943",measle_turquoise
青森県,,五所川原市,,松島コミュニティセンター,2,,3月12日,16:00:00,防災消防課,,"40.806583,140.477890",measle_turquoise
青森県,,五所川原市,,七和コミュニティセンター,2,,3月12日,16:00:00,防災消防課,,"40.756508,140.521729",measle_turquoise
青森県,,五所川原市,,飯詰コミュニティセンター,4,,3月12日,16:00:00,防災消防課,,"40.830696,140.487595",measle_turquoise
青森県,,五所川原市,,梅沢コミュニティセンター,,,3月12日,16:00:00,防災消防課,,"40.765568,140.477493",measle_yellow
青森県,,五所川原市,,敷島コミュニティセンター,11,,3月12日,16:00:00,防災消防課,,"40.815239,140.446594",measle_turquoise
青森県,,五所川原市,,中央コミュニティセンター,9,,3月12日,16:00:00,防災消防課,,"40.811676,140.443039",measle_turquoise
青森県,,五所川原市,,みなとコミュニティセンター,27,,3月12日,16:00:00,防災消防課,,"40.795013,140.447052",measle_turquoise
青森県,,五所川原市,,磯松集会所,28,,3月12日,16:00:00,防災消防課,,"41.076447,140.325241",measle_turquoise
青森県,,五所川原市,,もや会館,110,,3月12日,16:00:00,防災消防課,,"41.083832,140.324707",measle_turquoise
青森県,,五所川原市,,金木高校市浦分校,5,,3月12日,16:00:00,防災消防課,,"41.089703,140.324417",measle_turquoise
青森県,,五所川原市,,市浦コミュニティセンター,25,,3月12日,16:00:00,防災消防課,,"41.059814,140.351761",measle_turquoise
青森県,,十和田市,,さわらび会館,60,,3月12日,16:00:00,防災消防課,,"40.612091,141.204086",measle_turquoise
青森県,,十和田市,,ふるさと会館,0,,3月12日,16:00:00,防災消防課,,"40.612701,141.205902",measle_grey
青森県,,三沢市,,上久保小,28,,3月12日,16:00:00,防災消防課,,"40.678493,141.358170",measle_turquoise
青森県,,三沢市,,おおぞら小学校,135,,3月12日,16:00:00,防災消防課,,"40.781200,141.400314",measle_turquoise
青森県,,三沢市,,斗南藩記念観光村,0,,3月12日,16:00:00,防災消防課,閉鎖,"40.786308,141.363663",measle_grey
青森県,,三沢市,,古間木小学校,0,,3月12日,16:00:00,防災消防課,,"40.671776,141.346985",measle_grey
青森県,,三沢市,,第二中学校,8,,3月12日,16:00:00,防災消防課,,"40.684822,141.406693",measle_turquoise
青森県,,三沢市,,三川目小学校,80,,3月12日,16:00:00,防災消防課,,"40.681923,141.427475",measle_turquoise
青森県,,三沢市,,三沢小,5,,3月12日,16:00:00,防災消防課,,"40.687794,141.373779",measle_turquoise
