Prefecture,City,District,Name,Population,Capacity,Updated,Notes,Source,LatLng,Color
千葉県,旭市,二の１９２０,旭市総合体育館,30,,4月13日 0:00,ＴＥＬ0479-62-1212,旭市ホームページによる,,measle_turquoise
千葉県,旭市,横根3520番地,飯岡保険福祉センター,75,,4月13日 9:00,ＴＥＬ0479-57-3113,旭市ホームページによる,,measle_turquoise
千葉県,旭市,飯岡町2020-1,飯岡小学校,72,,4月6日 21:00,ＴＥＬ0479-57-2048,旭市ホームページによる,,measle_turquoise
千葉県,旭市,高生1番地,海上公民館,80,,4月13日 9:00,ＴＥＬ0479-55-2566,旭市ホームページによる,,measle_turquoise
千葉県,香取市,佐原イ２１１,香取市民体育館,28,,4月13日 9:00,,自治体ホームページより,"35.895114,140.495547",measle_turquoise
埼玉県,さいたま市,見沼区染谷3-147-1,片柳コミュニティセンター,50,400,4月12日 11:00,ＴＥＬ048-686-8666,埼玉県HP・受付終了,"35.909804,139.683986",measle_turquoise
埼玉県,さいたま市中央区,上落合２－３－２,新都心ビジネス交流プラザ４Ｆ会議室,100,100,3月30日 19:47,定員いっぱい,http://www.pref.saitama.lg.jp/page/hinanjyo.html,"35.890670,139.627857",measle_turquoise
埼玉県,さいたま市北区,土呂町２－２４－１,彩の国さいたま人づくり広域連合自治人材開発センター,300,300,3月30日 19:46,定員いっぱい,http://www.pref.saitama.lg.jp/page/hinanjyo.html,"35.929309,139.633142",measle_blue
埼玉県,さいたま市浦和区,,障害者交流センター体育館,27,,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,三郷市,,瑞沼市民センター,240,260,4月12日 11:00,,埼玉県HP,,measle_blue
埼玉県,上尾市,,イコス上尾,5,60,,,埼玉県HP,,measle_turquoise
埼玉県,久喜市,,総合第一体育館,5,70,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,入間市,,青少年活動センター,11,45,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,入間市,上谷ヶ貫２４４－２,農林総合研究センター茶業研究所,,60,3月30日 19:47,,http://www.pref.saitama.lg.jp/page/hinanjyo.html,"35.808865,139.345956",measle_yellow
埼玉県,八潮市,,文化スポーツセンター,9,30,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,加須市,,老人福祉センター不老荘,18,45,4月12日 11:00,,,,measle_turquoise
埼玉県,加須市,大字騎西598 - 1,旧埼玉県立騎西高校,1388,,4月12日 11:00,福島県双葉町住民 (4/1 埼玉スーパーアリーナより移転),日経新聞 20110401,"36.106171,139.565799",measle_blue
埼玉県,北葛飾郡杉戸町,,すぎとピア,34,50,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,北葛飾郡杉戸町,,エコスポいずみ,33,60,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,北足立郡伊奈町,,伊奈町ふれあい活動センター,12,40,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,南埼玉郡宮代町,,ふれ愛センター,12,12,4月12日 11:00,受入完了,埼玉県HP,,measle_turquoise
埼玉県,川口市,,西スポーツセンター,25,250,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,川越市,,農業ふれあいセンター,27,150,4月12日 11:00,,,,measle_turquoise
埼玉県,幸手市,,老人福祉センター,51,70,4月12日 11:00,,埼玉県HP,,measle_turquoise
埼玉県,戸田市,,市民医療センター,2,6,4月12日 11:00,,埼玉県HP,,measle_turquoise
