ID,{{subst:新規施設,英文タイトル,| 名称=,| よみ=,| 都道府県=,| 施設種別=,| 所在地=,| 緯度経度=,|電話=,|FAX=,| メールアドレス=,| URL=,| Twitterアカウント=,|備考=,| 被害状況=,| 職員・利用者の被害=,| 施設の被害=,| 収蔵品・展示の被害=,| その他の被害=,| 運営情報=,| 救援状況=,| その他=,| 情報源=,| 記入者=,| 元情報=,| カテゴリー,典拠
,,,真岡市歴史資料保存館,もうかしれきししりょうほぞんかん,,,321-4511　真岡市高田2645（旧二宮町立物部小学校高田分校） ,,0285-83-7731,0285-83-4070,bunka<@>city.moka.lg.jp,http://www.city.moka.tochigi.jp/bunkaka/hozonkan.html,,,,,,,,,,,,,,文書館,全史料協
,,,さいたま市総務局総務部　市政情報課史料係 ,さいたましそうむきょくそうむぶ　しせいじょうほうかしりょうがかり,,,330-9588 埼玉県さいたま市浦和区常盤6-4-4 ,,048-829-1120 ,,,http://www.city.saitama.jp/www/contents/1045549505125/index.html,,,,,,,,,,,,,,文書館,全史料協
,,,三郷市教育委員会生涯学習課 ,みさとしきょういくいいんかいしょうがいがくしゅうか,,,341-8501 埼玉県三郷市花和田648-1 ,,048-953-1111 ,048-953-1160,,http://www.city.misato.lg.jp/dd.aspx?menuid=2353,,,,,,,,,,,,,,文書館,全史料協
,,,八王子市市史編さん室 ,はちおうじしししへんさんしつ,,,193-0943 東京都八王子市寺田町1455－3 ,,042-666-1511 ,042-666-1512,問い合わせフォームあり,http://www.city.hachioji.tokyo.jp/seisaku/13570/020061.html,,,,,,,,,,,,,,文書館,全史料協
,,,日本大学総務部大学史編纂課 ,にほんだいがくそうむぶだいがくしへんさんか,,,102-8251 東京都千代田区五番町12番5号 ,,03-5275-9629 ,04-2996-4592,nuhistory<＠>nihon-u.ac.jp,http://www.nihon-u.ac.jp/community_and_service/publication/historical/index.html,,,,,,,,,,,,,,文書館,全史料協
,,,江東区総務部総務課 ,こうとうくそうむぶそうむか,,,135-0016 東京都江東区東陽4-11-28,, 03-3647-9111 ,,,http://www.city.koto.lg.jp/kusei/sosiki/10025.html,,,,,,,,,,,,,,文書館,全史料協
,,,品川区立品川歴史館 ,しながわくりつしながわれきしかん,,,140-0014 東京都品川区大井6-11-1 ,,03-3777-4060 ,,,http://www.city.koto.lg.jp/kusei/sosiki/10025.html#10104,,,,,,,,,,,,,,文書館,全史料協
,,,世田谷区立郷土資料館 ,せたがやくりつきょうどしりょうかん,,,154-0017 東京都世田谷区世田谷1-29-18 ,,03-3429-4237 ,,,http://www.city.shinagawa.tokyo.jp/jigyo/06/historyhp/hsindex.html,,,,,,,,,,,,,,文書館,全史料協
,,,小平市中央図書館 ,こだいらしちゅうおうとしょかん,,,187-0032 東京都小平市小川町2-1325 ,,042-345-1246 ,,,http://library.kodaira.ed.jp/index.shtml,,,,,,,,,,,,,,文書館,全史料協
,,,調布市総務部総務課公文書管理係 ,ちょうふしそうむぶそうむかこうぶんしょかんりがかり,,,182-0026 東京都調布市小島町2-36-4　マンション・セリーヌ1階　第10会議室,,0424-81-7630 ,,gyosei<＠>w2.city.chofu.tokyo.jp ,http://www.city.chofu.tokyo.jp/www/contents/1184822999718/index.html,,調布市総務部総務課歴史資料係 ,,,,,,,,,,,,文書館,全史料協
,,,武蔵野市企画政策室企画調整課,むさしのしきかくせいさくしつきかくちょうせいか,,,180-0006 東京都武蔵野市中町1-20-8（中央市政センター2階） ,,0422-56-3921 ,0422-51-5108,rekishisiryou<@>city.musashino.lg.jp,http://www.city.musashino.lg.jp/cms/sisaku/00/00/54/00005441.html,,,,,,,,,,,,,,文書館,全史料協
,,,慶応義塾福澤研究センター ,けいおうぎじゅくふくざわけんきゅうせんたー,,,108-0073 東京都港区三田2-15-45 ,,03-5427-1603 ,03-5427-1605,fmc<@>info.keio.ac.jp,http://www.fmc.keio.ac.jp/,,,HP　2011年03月25日 .東日本大震災の影響についてこのたびの震災において、当センターでは、ファイルや図書の落下などはありましたが、資料の破損などの被害はありませんでしたのでお知らせ致します。,,,,,,,,,,,文書館,全史料協
,,,大正大学附属図書館 ,たいしょうだいがくふぞくとしょかん,,,170-0001 東京都豊島区西巣鴨3-20-1,, 03-3918-7311 ,,,http://www.tais.ac.jp/related/tais_library/,,,,,HPより：図書館は今回の東北関東大震災により、壁や天井など建物に亀裂が入っております。,,,HPより：3月中休館、4月1日より開館,,,,,,文書館,全史料協
,,,中央大学入試・広報センター事務部　大学史編さん課 ,ちゅうおうだいがくにゅうし・こうほうせんたーじむしつ　だいがくしへんさんか,,,192-0351 東京都八王子市 東中野742-1 ,,0426-74-2133 　042-674-2204(HP),,,https://www.chuo-u.ac.jp/chuo-u/contact/mail_j.html?refer=/chuo-u/news/list_j.html&depart=daigakushi,,,,,,,,,,,,,,文書館,全史料協
,,,明治大学史資料センター事務室 ,めいじだいがくししりょうせんたーじむしつ,,,101-0062 東京都千代田区神田駿河台1-1 明治大学駿河台キャンパス 大学会館4F,,03-3296-4085 ,03-3296-4086,history<＠>mics.meiji.ac.jp,http://www.meiji.ac.jp/history/,,,,,,,,HPより：東北関東大震災の影響により，大学史展示室及び明治大学博物館は２０１１年３月３１日（金曜日）まで閉室します。,,,,,,文書館
,,,徳川黎明会,とくがわれいめいかい,,,171-0031 東京都豊島区目白3-8-11 ,,03-3950-0111 ,,,http://www.tokugawa.or.jp/,,,,,,,,HPには計画停電についてのお知らせがあった。,,,,,,文書館,全史料協
,,Mitsui Bunko　Business Archives and Museum of Art,(財)三井文庫,みついぶんこ,,,164-0002 東京都中野区上高田5-16-1,,03-3387-9431 , 03-3387-9432,,http://www.mitsui-bunko.or.jp/,,,,,,,,HPより：三井文庫本館（史料館、中野区上高田）では、震災に伴い臨時休館や開館時間変更の措置をとり、ご不便をおかけいたしましたが、現在は、通常通りの開館に復しております。,,,,,,文書館,全史料協
,,,立正佼成会付属佼成文書館 ,りっしょうこうせいかいふぞくこうせいぶんしょかん,,,166-0012 東京都杉並区和田1-2-1,,03-5341-1137
,,,ＧＳＵ東京支部図書館 ,じー・えす・ゆー・とうきょうしぶとしょかん,,,106-0047 東京都港区南麻布5-10-30 ,,03-3440-2764 ,,,,,ユタ系図協会,,,,,,,,,,,,文書館,全史料協
,,,多摩市文化振興財団 ,たましぶんかしんこうざいだん,,,206-0033 東京都多摩市落合2-35 ,,042-375-1414 ,,,http://www.parthenon.or.jp/etc/about.html,,パルテノン多摩,,,,,,,,,,,,文書館,全史料協
,,,青山学院大学文学部史学科,あおやまがくいんだいがくぶんがくぶしがくか,,,150-8366 東京都渋谷区渋谷4-4-25 ,,03-3409-7921 ,,,http://www.cl.aoyama.ac.jp/history/,,,,,,,,,,,,,,文書館,全史料協
,,,府中市文化スポーツ部ふるさと文化財課 ,ふちゅうしぶんかすぽーつぶふるさとぶんかざいか,,,183-0056 東京都府中市寿町1-5 ,,042-335-4473 ,,,http://www.city.fuchu.tokyo.jp/shisei/soshiki/bunkasports/furusatobunkazai/index.html,,府中市教育委員会生涯学習課　文化財担当,,,,,,,,,,,,文書館,全史料協
,,,宗教情報センター ,しゅうきょうじょうほうせんたー,,,190-0012 東京都立川市富士見町5-1-7 042-528-7313  ,,,,042-528-7316,http://www.circam.jp/,,,,,,,,,,,,,,文書館,全史料協
,,,横浜市総務局総務部法制課　横浜市史資料室 ,よこはましそうむきょくそうむぶそうむかほうせいか　よこはましししりょうしつ,,,220-0032 神奈川県横浜市西区老松町1番地（横浜市中央図書館内）,,045-251-3260 ,045-251-7321,,"http://www.city.yokohama.jp/me/somu/housei/sisi/, http://www.city.yokohama.jp/me/somu/housei/sisi/profile.html",,横浜市行政運営調整局法務課　横浜市史資料室 ,,,,,,,,,,,,文書館,全史料協
,,,厚木市教育委員会教育総務部　文化財課市史編さん係 ,あつぎしきょういくいいんかいきょういくそうむぶ　ぶんかざいかししへんさんかかり,,,243-0018 神奈川県厚木市中町3-17-17 ,,046-225-2060 ,,,http://www.city.atsugi.kanagawa.jp/dept/8650/index.html,,郷土資料館,,,,,,,,,,,,文書館,全史料協
,,,秦野市教育委員会生涯学習課　文化財班（市史資料室） ,はたのしきょういくいいんかいしょうがいがくしゅうか　ぶんかざいはん（しししりょうしつ）,,,257-0042 神奈川県秦野市寿町3-12（はだのこども館内）,,0463-83-8380 ,,,http://navi.city.hadano.kanagawa.jp/s-gakusyu/sisi/index.html,,,,,,,,,,,,,,文書館,全史料協
,,,大和市文化スポーツ部 文化振興課 市史・文化財担当,やまとしぶんかすぽーつぶ　ぶんかしんこうか　しし・ぶんかざいたんとう,,,242-0001 神奈川県大和市下鶴間1-1-1 ,,046-263-1111 HP:046-260-5336,,,http://www.city.yamato.lg.jp/web/shakai/rekitop.html,,,,,,,,,,,,,,文書館,全史料協
,,,神奈川大学日本常民文化研究所 ,かながわだいがくにほんじょうみんぶんかけんきゅうしょ,,,221-0802 神奈川県横浜市神奈川区六橋3-27-1 ,,045-481-5661 ,,,http://jominken.kanagawa-u.ac.jp/index.html,,,,,,,,,,,,,,文書館,全史料協
