|名称=	|よみ=	|所在地=	|電話番号=	|FAX=	|メールアドレス=	|URL=	|備考=	== その他 ==							
盛岡市立米内小学校	もりおかしりつよないしょうがっこう	〒020-0001 岩手県盛岡市上米内字米内沢50-9	019-667-2131			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/yonai/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立米内中学校	もりおかしりつよないちゅうがっこう	〒020-0002 岩手県盛岡市桜台2-19-1	019-667-2370	019-667-2839	e9046(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/yonai/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立山岸小学校	もりおかしりつやまぎししょうがっこう	〒020-0004 岩手県盛岡市山岸2丁目13-1	019-623-2275			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/yamagishi/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立下小路中学校	もりおかしりつしたこうじちゅうがっこう	〒020-0013 岩手県盛岡市愛宕町1-1	019-623-7358	019-623-7377	e9040(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/shitakoji/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立仁王小学校	もりおかしりつにおうしょうがっこう	〒020-0015 岩手県盛岡市本町通2丁目18-1	019-623-4214			http://www.ictnet.ne.jp/~niou.es/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立桜城小学校	もりおかしりつさくらぎしょうがっこう	〒020-0022 岩手県盛岡市大通3丁目8-1	019-653-5758			http://www.ictnet.ne.jp/~sakuragi.es/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立城西中学校	もりおかしりつじょうせいちゅうがっこう	〒020-0044 岩手県盛岡市城西町4-1	019-623-9274	019-622-9269	e9049(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/josei/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
盛岡市立太田小学校	もりおかしりつおおたしょうがっこう	〒020-0053 岩手県盛岡市上太田上吉本1-1	019-659-0218			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/oota/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立太田東小学校	もりおかしりつおおたひがししょうがっこう	〒020-0053 岩手県盛岡市上太田上野屋敷8-1	019-659-0217			http://www.city.morioka.iwate.jp/14kyoiku/sch-e/ootahigashi/index.html			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
盛岡市立繋中学校	もりおかしりつつなぎちゅうがっこう	〒020-0055 岩手県盛岡市繋字館市114-1	019-689-2227	019-689-2227	e9023(at)city.morioka.iwate.jp	http://www.city.morioka.iwate.jp/14kyoiku/sch-j/tsunagi/			[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
