|名称=	|よみ=	|所在地=	|電話番号=	|FAX=	|URL=	|備考=					
坂戸市立浅羽野小学校	さかどしりつあさばのしょうがっこう	〒350-0238 埼玉県坂戸市浅羽810	049-281-2155	049-284-9912	http://academic2.plala.or.jp/asasho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
坂戸市立千代田小学校	さかどしりつちよだしょうがっこう	〒350-0214 埼玉県坂戸市千代田2-17-5	049-281-3940	049-284-9938	http://academic2.plala.or.jp/chiyosho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
伊奈町立小針小学校	いなちょうりつこばりしょうがっこう	〒362-0807 埼玉県北足立郡伊奈町寿2-80-1	048-728-3002	048-728-5008	http://academic2.plala.or.jp/eskobari/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
坂戸市立泉小学校	さかどしりついずみしょうがっこう	〒350-0231 埼玉県坂戸市泉町3-28-7	049-283-3541	049-284-9963	http://academic2.plala.or.jp/izumisho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
坂戸市立上谷小学校	さかどしりつかみやしょうがっこう	〒350-0205 埼玉県坂戸市東坂戸1-1	049-283-1911	049-284-9903	http://academic2.plala.or.jp/kamisho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
坂戸市立片柳小学校	さかどしりつかたやなぎしょうがっこう	〒350-0219 埼玉県坂戸市片柳501	049-283-4735	049-289-1015	http://academic2.plala.or.jp/katasho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
坂戸市立北坂戸小学校	さかどしりつきたさかどしょうがっこう	〒350-0275 埼玉県坂戸市伊豆の山町17-1	049-281-6477	049-284-9932	http://academic2.plala.or.jp/kitasho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
伊奈町立小室小学校	いなちょうりつこむろしょうがっこう	〒362-0806 埼玉県北足立郡伊奈町小室7981	048-721-1624	048-722-4325	http://academic2.plala.or.jp/komuro/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
坂戸市立南小学校	さかどしりつみなみしょうがっこう	〒350-0214 埼玉県坂戸市千代田4-8-1	049-283-6531	049-284-9901	http://academic2.plala.or.jp/minamsho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
坂戸市立三芳野小学校	さかどしりつみよしのしょうがっこう	〒350-0203 埼玉県坂戸市横沼213-2	049-281-0300	049-284-9856	http://academic2.plala.or.jp/miyosho/index.html		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
坂戸市立入西小学校	さかどしりつにっさいしょうがっこう	〒350-0262 埼玉県坂戸市新堀265	049-281-0242	049-284-9904	http://academic2.plala.or.jp/nisaisho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
坂戸市立大家小学校	さかどしりつおおやしょうがっこう	〒350-0244 埼玉県坂戸市森戸449-1	049-285-2012	049-271-4047	http://academic2.plala.or.jp/ooyasho/index.html		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
坂戸市立坂戸小学校	さかどしりつさかどしょうがっこう	〒350-0229 埼玉県坂戸市薬師町1650	049-281-0039	049-284-9853	http://academic2.plala.or.jp/sakasho/index.html		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
坂戸市立城山小学校	さかどしりつしろやましょうがっこう	〒350-0247 埼玉県坂戸市西坂戸5-20-1	049-286-2789	049-271-4046	http://academic2.plala.or.jp/sirosho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
坂戸市立勝呂小学校	さかどしりつすぐろしょうがっこう	〒350-0212 埼玉県坂戸市石井1800	049-281-0229	049-284-9871	http://academic2.plala.or.jp/sugusho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
熊谷市立市田小学校	くまがやしりついちだしょうがっこう	〒360-0122 埼玉県熊谷市小泉243-1	048-536-0550	048-536-0801	http://academic3.plala.or.jp/ichida/index.htm		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
伊奈町立南小学校	いなちょうりつみなみしょうがっこう	〒362-0805 埼玉県北足立郡伊奈町栄4-1	048-722-5231	048-722-4326	http://academic3.plala.or.jp/ina373es/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
熊谷市立吉見小学校	くまがやしりつよしみしょうがっこう	〒369-0105 埼玉県熊谷市箕輪7	0493-39-0308	0493-39-0309	http://academic3.plala.or.jp/o-yoshi/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
吉川市立旭小学校	よしかわしりつあさひしょうがっこう	〒342-0006 埼玉県吉川市南広島1940	048-991-2156	048-993-0236	http://academic4.plala.or.jp/asahisyo/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
鶴ヶ島市立藤小学校	つるがしましりつふじしょうがっこう	〒350-2206 埼玉県鶴ヶ島市藤金330	049-285-6220	049-271-4287	http://academic4.plala.or.jp/fuji-s/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
吉川市立北谷小学校	よしかわしりつきたやしょうがっこう	〒342-0036 埼玉県吉川市高富857	048-982-5158	048-984-5273	http://academic4.plala.or.jp/kitaya/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
伊奈町立小針北小学校	いなちょうりつこばりきたしょうがっこう	〒362-0801 埼玉県北足立郡伊奈町内宿台5-214-1	048-727-0761	048-727-0771	http://academic4.plala.or.jp/kobakita/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
鶴ヶ島市立南小学校	つるがしましりつみなみしょうがっこう	〒350-2215 埼玉県鶴ヶ島市南町1-26-1	049-286-0991	049-271-4288	http://academic4.plala.or.jp/minami-s/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
吉川市立三輪野江小学校	よしかわしりつみわのえしょうがっこう	〒342-0022 埼玉県吉川市加藤641	048-982-2330	048-984-5271	http://academic4.plala.or.jp/miwanoe/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
鶴ヶ島市立長久保小学校	つるがしましりつながくぼしょうがっこう	〒350-2211 埼玉県鶴ヶ島市脚折町4-12-1	049-286-2160	049-271-4285	http://academic4.plala.or.jp/nagakubo/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
吉川市立中曽根小学校	よしかわしりつなかそねしょうがっこう	〒342-0033 埼玉県吉川市中曽根2-4	048-982-3051	048-982-3089	http://academic4.plala.or.jp/nakasone/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
吉川市立栄小学校	よしかわしりつさかえしょうがっこう	〒342-0055 埼玉県吉川市吉川615-1	048-982-3771	048-984-5274	http://academic4.plala.or.jp/sakae/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
鶴ヶ島市立栄小学校	つるがしましりつさかえしょうがっこう	〒350-2201 埼玉県鶴ヶ島市富士見4-26-1	049-286-2158	049-271-4286	http://academic4.plala.or.jp/sakae-s/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
吉川市立関小学校	よしかわしりつせきしょうがっこう	〒342-0054 埼玉県吉川市吉川団地1-10	048-982-6247	048-984-5272	http://academic4.plala.or.jp/se-ki/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
鶴ヶ島市立新町小学校	つるがしましりつしんまちしょうがっこう	〒350-2227 埼玉県鶴ヶ島市新町4-25-1	049-285-6598	049-271-4283	http://academic4.plala.or.jp/sinmachi/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
鶴ヶ島市立杉下小学校	つるがしましりつすぎしたしょうがっこう	〒350-2202 埼玉県鶴ヶ島市五味ヶ谷251	049-286-9532	049-271-4284	http://academic4.plala.or.jp/sugisita/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
鶴ヶ島市立鶴ヶ島第一小学校	つるがしましりつつるがしまだいいちしょうがっこう	〒350-2213 埼玉県鶴ヶ島市脚折1855	049-286-0214	049-271-4281	http://academic4.plala.or.jp/turu1-s/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
鶴ヶ島市立鶴ヶ島第二小学校	つるがしましりつつるがしまだいにしょうがっこう	〒350-2204 埼玉県鶴ヶ島市鶴ヶ丘358-1	049-285-1878	049-271-4282	http://academic4.plala.or.jp/turu2-s/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
吉川市立吉川小学校	よしかわしりつよしかわしょうがっこう	〒342-0056 埼玉県吉川市平沼73	048-982-2420	048-982-2363	http://academic4.plala.or.jp/yoshisho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立文蔵小学校	さいたましりつぶぞうしょうがっこう	〒336-0025 埼玉県さいたま市南区文蔵5-16-29	048-863-0721	048-836-1583	http://buzo-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立大門小学校	さいたましりつだいもんしょうがっこう	〒336-0963 埼玉県さいたま市緑区大門1189	048-878-0024	048-812-1047	http://daimon-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立大東小学校	さいたましりつだいとうしょうがっこう	〒330-0043 埼玉県さいたま市浦和区大東3-14-1	048-886-7296	048-811-1330	http://daito-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立海老沼小学校	さいたましりつえびぬましょうがっこう	〒337-0032 埼玉県さいたま市見沼区東新井710-5	048-686-2125	048-686-5350	http://ebinuma-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立原山小学校	さいたましりつはらやましょうがっこう	〒336-0931 埼玉県さいたま市緑区原山1-30-12	048-882-7907	048-811-1332	http://harayama-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立針ヶ谷小学校	さいたましりつはりがやしょうがっこう	〒330-0072 埼玉県さいたま市浦和区領家7-2-1	048-831-9040	048-835-1356	http://harigaya-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立春野小学校	さいたましりつはるのしょうがっこう	〒337-0002 埼玉県さいたま市見沼区春野1-10-1	048-685-3055	048-685-3488	http://haruno-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立春岡小学校	さいたましりつはるおかしょうがっこう	〒337-0008 埼玉県さいたま市見沼区春岡2-29-1	048-683-3281	048-683-8974	http://haruoka-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立蓮沼小学校	さいたましりつはすぬましょうがっこう	〒330-0015 埼玉県さいたま市見沼区蓮沼1070	048-684-3678	048-684-8964	http://hasunuma-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立東岩槻小学校	さいたましりつひがしいわつきしょうがっこう	〒339-0007 埼玉県さいたま市岩槻区諏訪2-6-1	048-794-1584	048-795-0369	http://higashiiwatsuki-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立東大成小学校	さいたましりつひがしおおなりしょうがっこう	〒331-0814 埼玉県さいたま市北区東大成町2-12	048-663-3210	048-663-9883	http://higashionari-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立東宮下小学校	さいたましりつひがしみやしたしょうがっこう	〒337-0012 埼玉県さいたま市見沼区東宮下215-1	048-685-3652	048-685-5119	http://higasimiyasita-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
蓮田市立蓮田中央小学校	はすだしりつはすだちゅうおうしょうがっこう	〒349-0121 埼玉県蓮田市関山3-6-1	048-768-0073	048-768-0510	http://homepage2.nifty.com/chuo/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
蓮田市立蓮田北小学校	はすだしりつはすだきたしょうがっこう	〒349-0133 埼玉県蓮田市閏戸3236	048-766-2015	048-766-2050	http://homepage2.nifty.com/hasukita/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
蓮田市立平野小学校	はすだしりつひらのしょうがっこう	〒349-0135 埼玉県蓮田市井沼937	048-766-1308	048-766-1050	http://homepage2.nifty.com/hirasyo/index.htm		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
蓮田市立黒浜北小学校	はすだしりつくろはまきたしょうがっこう	〒349-0142 埼玉県蓮田市南新宿800	048-768-4180	048-768-4141	http://homepage2.nifty.com/kurokita/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
