|名称=	|よみ=	|所在地=	|電話番号=	|FAX=	|URL=	|備考=				
坂戸市立浅羽野中学校	さかどしりつあさばのちゅうがっこう	〒350-0238 埼玉県坂戸市浅羽753-1	049-284-1441	049-284-6476	http://academic1.plala.or.jp/asatyu/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
坂戸市立桜中学校	さかどしりつさくらちゅうがっこう	〒350-0231 埼玉県坂戸市泉町3-25-8	049-282-2002	049-284-6746	http://academic1.plala.or.jp/izumityu/sakura.html		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
坂戸市立千代田中学校	さかどしりつちよだちゅうがっこう	〒350-0214 埼玉県坂戸市千代田4-3-1	049-284-1646	049-284-6646	http://academic1.plala.or.jp/j-tiyoda/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
坂戸市立坂戸中学校	さかどしりつさかどちゅうがっこう	〒350-0214 埼玉県坂戸市千代田1-3-1	049-283-0219	049-284-6728	http://academic1.plala.or.jp/sakatyu/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
坂戸市立城山中学校	さかどしりつしろやまちゅうがっこう	〒350-0246 埼玉県坂戸市多和目788	049-285-9930	049-271-3657	http://academic1.plala.or.jp/sirotyu/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
坂戸市立住吉中学校	さかどしりつすみよしちゅうがっこう	〒350-0209 埼玉県坂戸市塚越114-1	049-281-0301	049-284-6673	http://academic1.plala.or.jp/sumityu/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
坂戸市立若宮中学校	さかどしりつわかみやちゅうがっこう	〒350-0255 埼玉県坂戸市成願寺327-2	049-281-2014	049-284-6654	http://academic1.plala.or.jp/wakatyu/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
吉川市立東中学校	よしかわしりつひがしちゅうがっこう	〒342-0017 埼玉県吉川市上笹塚3-104-1	048-982-0244	048-982-0258	http://academic1.plala.or.jp/yoshihjh/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
吉川市立南中学校	よしかわしりつみなみちゅうがっこう	〒342-0041 埼玉県吉川市保672	048-982-1066	048-982-1469	http://academic1.plala.or.jp/yoshimjh/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
伊奈町立南中学校	いなちょうりつみなみちゅうがっこう	〒362-0806 埼玉県北足立郡伊奈町小室3001	048-723-1117	048-722-4304	http://academic2.plala.or.jp/inamjhs/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]
