所在市町村	市町村	市町村よみ	学校名	|名称=	よみ	|よみ=	|所在地=	郵便番号	所在地	|電話番号=				
青森市	青森市	あおもりし	造道	青森市立造道小学校	つくりみち	あおもりしりつつくりみちしょうがっこう	〒030-0911 青森県青森市造道三丁目4の16	030-0911	造道三丁目4の16	017-741-0614	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	浪打	青森市立浪打小学校	なみうち	あおもりしりつなみうちしょうがっこう	〒030-0961 青森県青森市浪打一丁目4の1	030-0961	浪打一丁目4の1	017-742-3347	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	佃	青森市立佃小学校	つくだ	あおもりしりつつくだしょうがっこう	〒030-0962 青森県青森市佃二丁目6の1	030-0962	佃二丁目6の1	017-741-0381	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	合浦	青森市立合浦小学校	がっぽ	あおもりしりつがっぽしょうがっこう	〒030-0904 青森県青森市茶屋町32の17	030-0904	茶屋町32の17	017-741-3001	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	堤	青森市立堤小学校	つつみ	あおもりしりつつつみしょうがっこう	〒030-0813 青森県青森市松原二丁目4の4	030-0813	松原二丁目4の4	017-734-5579	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	莨町	青森市立莨町小学校	たばこまち	あおもりしりつたばこまちしょうがっこう	〒030-0811 青森県青森市青柳二丁目7の25	030-0811	青柳二丁目7の25	017-734-2004	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	橋本	青森市立橋本小学校	はしもと	あおもりしりつはしもとしょうがっこう	〒030-0823 青森県青森市橋本一丁目9の17	030-0823	橋本一丁目9の17	017-734-6136	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	浦町	青森市立浦町小学校	うらまち	あおもりしりつうらまちしょうがっこう	〒038-0822 青森県青森市中央二丁目17の13	038-0822	中央二丁目17の13	017-734-2704	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	長島	青森市立長島小学校	ながしま	あおもりしりつながしましょうがっこう	〒030-0861 青森県青森市長島三丁目8の1	030-0861	長島三丁目8の1	017-776-2244	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	古川	青森市立古川小学校	ふるかわ	あおもりしりつふるかわしょうがっこう	〒030-0862 青森県青森市古川三丁目7の14	030-0862	古川三丁目7の14	017-776-8005	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	甲田	青森市立甲田小学校	こうだ	あおもりしりつこうだしょうがっこう	〒030-0853 青森県青森市金沢一丁目6の1	030-0853	金沢一丁目6の1	017-776-5054	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	千刈	青森市立千刈小学校	せんがり	あおもりしりつせんがりしょうがっこう	〒030-0015 青森県青森市千刈一丁目10の20	030-0015	千刈一丁目10の20	017-766-0946	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	篠田	青森市立篠田小学校	しのだ	あおもりしりつしのだしょうがっこう	〒038-0011 青森県青森市篠田三丁目16の2	038-0011	篠田三丁目16の2	017-781-0033	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	沖館	青森市立沖館小学校	おきだて	あおもりしりつおきだてしょうがっこう	〒038-0002 青森県青森市沖館五丁目3の1	038-0002	沖館五丁目3の1	017-781-0502	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	油川	青森市立油川小学校	あぶらかわ	あおもりしりつあぶらかわしょうがっこう	〒038-0059 青森県青森市油川船岡36	038-0059	油川船岡36	017-788-1202	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	栄山	青森市立栄山小学校	さかえやま	あおもりしりつさかえやましょうがっこう	〒038-0023 青森県青森市細越栄山595	038-0023	細越栄山595	017-739-5106	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	荒川	青森市立荒川小学校	あらかわ	あおもりしりつあらかわしょうがっこう	〒030-0111 青森県青森市荒川柴田92の5	030-0111	荒川柴田92の5	017-739-2244	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	高田	青森市立高田小学校	たかだ	あおもりしりつたかだしょうがっこう	〒030-0151 青森県青森市高田川瀬200の5	030-0151	高田川瀬200の5	017-739-5101	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	野沢	青森市立野沢小学校	のざわ	あおもりしりつのざわしょうがっこう	〒030-0152 青森県青森市野沢沢部108	030-0152	野沢沢部108	017-739-5104	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	原別	青森市立原別小学校	はらべつ	あおもりしりつはらべつしょうがっこう	〒030-0921 青森県青森市原別袖崎8	030-0921	原別袖崎8	017-726-3100	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
青森市	青森市	あおもりし	浜館	青森市立浜館小学校	はまだて	あおもりしりつはまだてしょうがっこう	〒030-0916 青森県青森市田屋敷下り松17	030-0916	田屋敷下り松17	017-742-2141	[[Category:青森県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]
