|名称=	|よみ=	|電話番号=	|FAX=	|所在地=	|URL=	|メールアドレス=					
岩手県立盛岡視覚支援学校	いわてけんりつもりおかしかくしえんがっこう	019-624-2986	019-624-3164	〒020-0061 岩手県盛岡市北山1丁目10-1	http://www2.iwate-ed.jp/iwp-m/	info(at)iwp-m.iwate-ed.jp	[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]	
岩手県立盛岡聴覚支援学校	いわてけんりつもりおかちょうかくしえんがっこう	019-696-2582	019-696-5952	〒020-0403 岩手県盛岡市乙部4-78-2	http://www2.iwate-ed.jp/mor-r/	moriro(at)mor-r.iwate-ed.jp	[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]	
岩手県立盛岡となん支援学校	いわてけんりつもりおかとなんしえんがっこう	019-623-3907	019-623-3918	〒020-0401 岩手県盛岡市手代森6-10-14	http://www2.iwate-ed.jp/mor-y/	moriyou(at)mor-y.iwate-ed.jp	[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]	
岩手県立盛岡青松支援学校	いわてけんりつもりおかせいしょうしえんがっこう	019-661-5125	019-661-5170	〒020-0102 岩手県盛岡市上田字松屋敷11-25	http://www2.iwate-ed.jp/mat-y/	seishou(at)mat-y.iwate-ed.jp	[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]	
岩手県立盛岡峰南高等支援学校	いわてけんりつもりおかほうなんこうとうしえんがっこう	019-639-8515	019-639-8517	〒020-0853 岩手県盛岡市下飯岡11-152	http://www2.iwate-ed.jp/moh-y/	hounan(at)moh-y.iwate-ed.jp	[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]	
岩手県立盛岡みたけ支援学校	いわてけんりつもりおかみたけしえんがっこう	019-641-0789	019-641-8040	〒020-0173 岩手県岩手郡滝沢村滝沢字穴口218-4	http://www2.iwate-ed.jp/mit-y/	-	[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]	
岩手県立盛岡みたけ支援学校奥中山分校	いわてけんりつもりおかみたけしえんがっこうおくなかやまぶんこう	0195-35-3036	-	〒028-5134 岩手県二戸郡一戸町奥中山字西田子1054-1	http://www2.iwate-ed.jp/oku-y/	mit-oknymrts(at)oku-y.iwate-ed.jp	[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]	
岩手県立花巻清風支援学校	いわてけんりつはなまきせいふうしえんがっこう	0198-28-2421	0198-28-2089	〒025-0037 岩手県花巻市太田27-207-4	http://www2.iwate-ed.jp/hki-y/	hanamaki-seifu(at)hki-y.iwate-ed.jp	[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]	
岩手県立前沢明峰支援学校	いわてけんりつまえざわめいほうしえんがっこう	0197-56-6707	0197-56-5967	〒029-4208 岩手県奥州市前沢区字田畠18-1	http://www2.iwate-ed.jp/mae-y/	meihou(at)mae-y.iwate-ed.jp	[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]	
岩手県立一関清明支援学校	いわてけんりついちのせきせいめいしえんがっこう	0191-24-2030	0191-25-2770	〒021-0902 岩手県一関市萩荘字高梨南方21	http://www2.iwate-ed.jp/ich-r/	-	[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]	
岩手県立気仙光陵支援学校	いわてけんりつけせんこうりょうしえんがっこう	0192-27-8500	0192-27-8501	〒022-0006 岩手県大船渡市立根町字宮田33-3	http://www2.iwate-ed.jp/kes-y/	kesen(at)kes-y.iwate-ed.jp	[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]	
岩手県立釜石祥雲支援学校	いわてけんりつかまいししょううんしえんがっこう	0193-23-0663	0193-23-0679	〒026-0053 岩手県釜石市定内町四丁目9-5	http://www2.iwate-ed.jp/kam-y/	webmaster(at)kam-y.iwate-ed.jp	[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]	
岩手県立宮古恵風支援学校	いわてけんりつみやこけいふうしえんがっこう	0193-63-0400	0193-64-3617	〒027-0097 岩手県宮古市崎山5-88	http://www2.iwate-ed.jp/myk-y/	miyako.sy(at)myk-y.iwate-ed.jp	[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]	
岩手県立久慈拓陽支援学校	いわてけんりつくじたくようしえんがっこう	0194-58-3004	0194-58-3660	〒028-7801 岩手県久慈市侍浜町堀切10-56-46	http://www2.iwate-ed.jp/kuj-y/	takuyo(at)kuj-y.iwate-ed.jp	[[Category:岩手県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]	
