|名称=	|よみ=	|所在地=	|電話番号=	|FAX=	|URL=	|備考=				
横須賀市立横須賀総合高等学校	よこすかしりつよこすかそうごうこうとうがっこう	〒239-0831 神奈川県横須賀市久里浜6-1-1	046-833-4111	046-833-4555	http://schoolnet.edu.city.yokosuka.kanagawa.jp/schoolnet/highschool/301sougou/index.html	(全日制・定時制)総合学科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
横浜市立みなと総合高等学校	よこはましりつみなとそうごうこうとうがっこう	〒231-0023 神奈川県横浜市中区山下町231	045-662-3710	045-663-2495	http://www.edu.city.yokohama.jp/sch/hs/m-sogo/	(全日制)総合学科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
横浜市立横浜サイエンスフロンティア高等学校	よこはましりつよこはまさいえんすふろんてぃあこうとうがっこう	〒230-0046 神奈川県横浜市鶴見区小野町6	045-511-3654	045-511-3644	http://www.city.yokohama.jp/me/kyoiku/sidou2/koukou/sfh/	(全日制)理数科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
横浜市立横浜商業高等学校	よこはましりつよこはましょうぎょうこうとうがっこう	〒232-0006 神奈川県横浜市南区南太田2-30-1	045-713-2323	045-713-3969	http://www.edu.city.yokohama.jp/sch/hs/y-shogyo/	(全日制)商業科・国際科 <br/>別科：[[横浜市立横浜商業高等学校別科]]	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
横浜市立横浜商業高等学校別科	よこはましりつよこはましょうぎょうこうとうがっこうべっか	〒235-0011 神奈川県横浜市磯子区丸山1-22-21	045-751-5151	045-754-6739	http://www.edu.city.yokohama.jp/sch/hs/y-sho-bekka/	(全日制)理容科・美容科<br/>本校：[[横浜市立横浜商業高校]]	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
横浜市立横浜総合高等学校	よこはましりつよこはまそうごうこうとうがっこう	〒231-0028 神奈川県横浜市中区翁町2-9-10	045-641-1725	045-641-2058	http://www.edu.city.yokohama.jp/sch/hs/y-sogo/	(定時制)総合学科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
横浜市立金沢高等学校	よこはましりつかなざわこうとうがっこう	〒236-0027 神奈川県横浜市金沢区瀬戸22-1	045-781-5761	045-788-5150	http://www.edu.city.yokohama.jp/sch/hs/kanazawa/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
横浜市立戸塚高等学校	よこはましりつとつかこうとうがっこう	〒245-8588 神奈川県横浜市戸塚区汲沢2-27-1	(全日制)045-871-0301 / (定時制)045-862-5396	045-871-0086	http://www.edu.city.yokohama.jp/sch/hs/totsuka/	(全日制・定時制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
横浜市立桜丘高等学校	よこはましりつさくらがおかこうとうがっこう	〒240-0011 神奈川県横浜市保土ヶ谷区桜ヶ丘2-15-1	045-331-5021	045-332-6039	http://www.edu.city.yokohama.jp/sch/hs/sakura/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
横浜市立東高等学校	よこはましりつひがしこうとうがっこう	〒230-0076 神奈川県横浜市鶴見区馬場3-5-1	045-571-0851	045-585-5780	http://www.edu.city.yokohama.jp/sch/hs/higashi/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
横浜市立南高等学校	よこはましりつみなみこうとうがっこう	〒233-0011 神奈川県横浜市港南区東永谷2-1-1	045-822-1910	045-826-0818	http://www.edu.city.yokohama.jp/sch/hs/minami/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立愛川高等学校	かながわけんりつあいかわこうとうがっこう	〒243-0308 神奈川県愛甲郡愛川町三増822-1	046-286-2871	046-286-5494	http://www.aikawa-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立旭高等学校	かながわけんりつあさひこうとうがっこう	〒241-0806 神奈川県横浜市旭区下川井町2247	045-953-3301	045-951-3117	http://www.asahi-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立綾瀬高等学校	かながわけんりつあやせこうとうがっこう	〒252-1134 神奈川県綾瀬市寺尾南1-4-1	0467-76-1400	0467-76-8241	http://www.ayase-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
神奈川県立綾瀬西高等学校	かながわけんりつあやせにしこうとうがっこう	〒252-1123 神奈川県綾瀬市早川1485-1	0467-77-5121	0467-76-8199	http://www.ayasenishi-h.pen-kanagawa.ed.jp/	(全日制)普通科	[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
