|名称=	|よみ=	|電話番号=	|FAX=	|所在地=	|メールアドレス=	|備考=				
埼玉県立上尾高等学校	さいたまけんりつあげおこうとうがっこう	048-772-3322	048-770-1051	〒362-0073 埼玉県上尾市浅間台1-6-1	n723322(at)pref.saitama.lg.jp	普通，商業科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立上尾鷹の台高等学校	さいたまけんりつあげおたかのだいこうとうがっこう	048-722-1246	048-720-1013	〒362-0021 埼玉県上尾市原市2800	n221246(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立上尾橘高等学校	さいたまけんりつあげおたちばなこうとうがっこう	048-725-3725	048-780-1010	〒362-0059 埼玉県上尾市平方2187-1	n253725(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立上尾南高等学校	さいたまけんりつあげおみなみこうとうがっこう	048-781-3355	048-780-1009	〒362-0052 埼玉県上尾市中新井585	n813355(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立朝霞高等学校	さいたまけんりつあさかこうとうがっこう	048-465-1010	048-460-1013	〒351-0015 埼玉県朝霞市幸町3-13-65	j651010(at)pref.saitama.lg.jp	普通科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立朝霞西高等学校	さいたまけんりつあさかにしこうとうがっこう	048-466-4311	048-460-1014	〒351-0013 埼玉県朝霞市膝折2-17	j664311(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立いずみ高等学校	さいたまけんりついずみこうとうがっこう	048-852-6880	048-840-1047	〒338-0007 埼玉県さいたま市中央区円阿弥7-4-1	p526880(at)pref.saitama.lg.jp	生物系・環境系・生産生物・生物サイエンス・生物資源化学・環境デザイン・環境サイエンス・環境建設	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立伊奈学園総合高等学校	さいたまけんりついながくえんそうごうこうとうがっこう	048-728-2510	048-729-1003	〒362-0813 埼玉県北足立郡伊奈町学園4-1-1	n282510(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立入間高等学校	さいたまけんりついるまこうとうがっこう	04-2964-2251	04-2960-1055	〒358-0026 埼玉県入間市小谷田745	f642251(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立入間向陽高等学校	さいたまけんりついるまこうようこうとうがっこう	04-2964-3805	04-2960-1057	〒358-0001 埼玉県入間市向陽台1-1-1	f643805(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立岩槻高等学校	さいたまけんりついわつきこうとうがっこう	048-798-7171	048-791-1500	〒339-0043 埼玉県さいたま市岩槻区城南1-3-38	n987171(at)pref.saitama.lg.jp	普通科，国際文化科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立岩槻商業高等学校	さいたまけんりついわつきしょうぎょうこうとうがっこう	048-756-0100	048-790-1501	〒339-0052 埼玉県さいたま市岩槻区太田1-4-1	n560100(at)pref.saitama.lg.jp	商業科，情報処理科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立岩槻北陵高等学校	さいたまけんりついわつきほくりょうこうとうがっこう	048-794-6060	048-793-1500	〒339-0009 埼玉県さいたま市岩槻区慈恩寺117-2	n946060(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立浦和高等学校	さいたまけんりつうらわこうとうがっこう	048-886-3000	048-885-4647	〒330-9330 埼玉県さいたま市浦和区領家5-3-3	p863000(at)pref.saitama.lg.jp	普通科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立浦和北高等学校	さいたまけんりつうらわきたこうとうがっこう	048-855-1000	048-840-1045	〒338-0815 埼玉県さいたま市桜区五関595	p551000(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立浦和工業高等学校	さいたまけんりつうらわこうぎょうこうとうがっこう	048-862-5634	048-836-1058	〒338-0832 埼玉県さいたま市桜区西堀5-1-1	p625634(at)pref.saitama.lg.jp	電気科，機械科，設備システム科，情報技術科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立浦和商業高等学校	さいたまけんりつうらわしょうぎょうこうとうがっこう	048-861-2564	048-836-1057	〒336-0022 埼玉県さいたま市南区白幡2-19-39	p612564(at)pref.saitama.lg.jp	商業科，情報処理科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立浦和第一女子高等学校	さいたまけんりつうらわだいいちじょしこうとうがっこう	048-829-2031	048-830-1116	〒330-0064 埼玉県さいたま市浦和区岸町3-8-45	p292031(at)pref.saitama.lg.jp	普通科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立浦和西高等学校	さいたまけんりつうらわにしこうとうがっこう	048-831-4847	048-830-1117	〒330-0042 埼玉県さいたま市浦和区木崎3-1-1	p314847(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立浦和東高等学校	さいたまけんりつうらわひがしこうとうがっこう	048-878-2113	048-812-1013	〒336-0976 埼玉県さいたま市緑区寺山365	p782113(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立大井高等学校	さいたまけんりつおおいこうとうがっこう	049-264-7801	049-278-1175	〒356-0053 埼玉県ふじみ野市大井1158-1	r647801(at)pref.saitama.lg.jp	普通科，体育科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立大宮高等学校	さいたまけんりつおおみやこうとうがっこう	048-641-0931	048-640-1965	〒330-0834 埼玉県さいたま市大宮区天沼町2-323	m410931(at)pref.saitama.lg.jp	普通科，理数科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立大宮工業高等学校	さいたまけんりつおみやこうぎょうこうとうがっこう	048-651-0445	048-660-1904	〒331-0802 埼玉県さいたま市北区本郷町1970	m510445(at)pref.saitama.lg.jp	機械科，電気科，建築科，電子機械科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立大宮光陵高等学校	さいたまけんりつおおみやこうりょうこうとうがっこう	048-622-1277	048-620-1901	〒331-0057 埼玉県さいたま市西区中野林145	m221277(at)pref.saitama.lg.jp	普通科，美術科，音楽科，書道科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立大宮商業高等学校	さいたまけんりつおおみやしょうぎょうこうとうがっこう	048-683-0674	048-680-1901	〒337-0053 埼玉県さいたま市見沼区大和田町1-356	m830674(at)pref.saitama.lg.jp	商業科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立大宮東高等学校	さいたまかんりつおおみやひがしこうとうがっこう	048-683-0995	048-680-1900	〒337-0021 埼玉県さいたま市見沼区膝子567	m830995(at)pref.saitama.lg.jp	普通科，体育科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立大宮南高等学校	さいたまけんりつおおみやみなみこうとうがっこう	048-623-7329	048-620-1904	〒331-0053 埼玉県さいたま市西区植田谷本793	m237329(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立大宮武蔵野高等学校	さいたまけんりつおおみやむさしのこうとうがっこう	048-622-0181	048-620-1903	〒331-0061 埼玉県さいたま市西区西遊馬1601	m220181(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立小鹿野高等学校	さいたまけんりつおがのこうとうがっこう	0494-75-0205	0494-72-1001	〒368-0105 埼玉県秩父郡小鹿野町小鹿野962-1	t750205(at)pref.saitama.lg.jp	総合学科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立小川高等学校	さいたまけんりつおがわこうとうがっこう	0493-72-1158	0493-71-1045	〒355-0328 埼玉県比企郡小川町大塚1105	s721158(at)pref.saitama.lg.jp	普通科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立桶川高等学校	さいたまけんりつおけがわこうとうがっこう	048-728-4421	048-729-1004	〒363-0008 埼玉県桶川市坂田945	n284421(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立桶川西高等学校	さいたまけんりつおけがわにしこうとうがっこう	048-787-0081	048-789-1051	〒363-0027 埼玉県桶川市川田谷1531-2	n870081(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立越生高等学校	さいたまけんりつおごせこうとうがっこう	049-292-3651	049-277-1013	〒350-0412 埼玉県入間郡越生町西和田600	r923651(at)pref.saitama.lg.jp	普通科，美術科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立春日部高等学校	さいたまけんりつかすかべこうとうがっこう	048-752-3141	048-760-1202	〒344-0061 埼玉県春日部市粕壁5539	n523141(at)pref.saitama.lg.jp	普通科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立春日部工業高等学校	さいたまけんりつかすかべこうぎょうこうとうがっこう	048-761-5235	048-760-1204	〒344-0053 埼玉県春日部市梅田本町1-1-1	n615235(at)pref.saitama.lg.jp	機械科，建築科，電気科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立春日部女子高等学校	さいたまけんりつかすかべじょしこうとうがっこう	048-752-3591	048-760-1203	〒344-8521 埼玉県春日部市粕壁東6-1-1	n523591(at)pref.saitama.lg.jp	普通科，外国語科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立春日部東高等学校	さいたまけんりつかすかべひがしこうとうがっこう	048-761-0011	048-760-1206	〒344-0002 埼玉県春日部市樋籠363	n610011(at)pref.saitama.lg.jp	普通科，人文科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立川口高等学校	さいたまけんりつかわぐちこうとうがっこう	048-282-1615	048-280-1026	〒333-0826 埼玉県川口市新井宿諏訪山963	h821615(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立川口北高等学校	さいたまけんりつかわぐちきたこうとうがっこう	048-295-1006	048-290-1013	〒333-0831 埼玉県川口市木曽呂1477	h951006(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立川口工業高等学校	さいたまけんりつかわぐちこうぎょうこうとうがっこう	048-251-3081	048-250-1252	〒333-0846 埼玉県川口市南前川1-10-1	h513081(at)pref.saitama.lg.jp	機械科，電気科，情報通信科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立川口青陵高等学校	さいたまけんりつかわぐちせいりょうこうとうがっこう	048-296-1154	048-290-1015	〒333-0832 埼玉県川口市神戸東520-1	h961154(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立川口東高等学校	さいたまけんりつかわぐちひがしこうとうがっこう	048-296-7022	048-290-1014	〒333-0807 埼玉県川口市長蔵3-1-1	h967022(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立川越高等学校	さいたまけんりつかわごえこうとうがっこう	049-222-0224	049-229-1051	〒350-0053 埼玉県川越市郭町2-6	r220224(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立川越工業高等学校	さいたまけんりつかわごえこうぎょうこうとうがっこう	049-222-0206	049-229-1039	〒350-0035 埼玉県川越市西小仙波町2-28-1	r220206(at)pref.saitama.lg.jp	デザイン科，建築科，機械科，電気科，化学科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立川越女子高等学校	さいたまけんりつかわごえじょしこうとうがっこう	049-222-3511	049-229-1038	〒350-0041 埼玉県川越市六軒町1-23	r223511(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
